year,day,low,open,high,close,volumn
2005, 0408, 97953, 98467, 100370, 100345, 1476252600
2005, 0411, 99277, 100388, 100874, 99563, 1593606600
2005, 0412, 97820, 99371, 99371, 97870, 1022619300
2005, 0413, 98795, 98795, 100650, 100090, 1607168700
2005, 0414, 98558, 100464, 100642, 98698, 1294571000
2005, 0415, 97193, 98261, 98261, 97408, 1039627200
2005, 0418, 95865, 97091, 97091, 96377, 859840000
2005, 0419, 95791, 96292, 96887, 96589, 921262300
2005, 0420, 94620, 96415, 96415, 95087, 885070500
2005, 0421, 93860, 94886, 95555, 94398, 994614500
2005, 0422, 93496, 94291, 94791, 93910, 1069188400
2005, 0425, 92016, 93599, 93599, 93007, 1147047800
2005, 0426, 92466, 92843, 93970, 93708, 1169047100
2005, 0427, 92590, 93857, 93891, 92660, 1078061100
2005, 0428, 91483, 92353, 94550, 94207, 1434348600
2005, 0429, 92981, 94081, 94245, 93240, 1123541900
2005, 0509, 90917, 93465, 93739, 90917, 852911500
2005, 0510, 89231, 90554, 91339, 91308, 1049433100
2005, 0511, 90044, 91184, 91722, 90185, 904204700
2005, 0512, 88351, 89997, 90006, 88582, 1022872000
2005, 0513, 87558, 88351, 89851, 88754, 1124490600
2005, 0516, 86933, 88539, 88539, 87527, 822428800
2005, 0517, 86821, 87308, 88828, 88146, 877227300
2005, 0518, 87182, 88114, 89040, 88320, 787861000
2005, 0519, 87129, 88284, 88802, 88417, 814958300
2005, 0520, 87918, 88351, 89102, 88276, 722667600
2005, 0523, 86210, 88028, 88028, 86334, 727979500
2005, 0524, 85559, 86120, 87177, 86846, 920692900
2005, 0525, 86166, 86766, 87631, 86845, 723855600
2005, 0526, 85496, 86776, 87284, 85733, 662278600
2005, 0527, 84840, 85560, 86496, 84951, 774998300
2005, 0530, 84210, 84763, 85846, 85561, 697158300
2005, 0531, 85329, 85656, 86320, 85595, 704782100
2005, 0601, 83604, 85521, 85766, 83753, 790230200
2005, 0602, 81299, 83547, 83549, 81838, 950865700
2005, 0603, 80797, 81655, 82386, 81803, 793605600
2005, 0606, 80778, 81673, 83915, 83900, 900918500
2005, 0607, 83518, 84158, 85809, 83728, 1306706800
2005, 0608, 84447, 84854, 90883, 90577, 3290783900
2005, 0609, 89504, 90757, 92537, 91260, 3314184000
2005, 0610, 88910, 91194, 91194, 89456, 2239150200
2005, 0613, 87769, 89500, 90018, 89296, 1562800200
2005, 0614, 88286, 89539, 90542, 88354, 1434357000
2005, 0615, 86514, 88121, 88125, 86683, 1145405600
2005, 0616, 86183, 86666, 87949, 87924, 1104968500
2005, 0617, 87604, 88361, 88808, 88035, 1496300900
2005, 0620, 87256, 88162, 90648, 90626, 1899208200
2005, 0621, 89439, 90631, 90631, 89617, 1277478400
2005, 0622, 89193, 89477, 90124, 90065, 1047813400
2005, 0623, 89283, 90006, 90490, 89357, 950930800
2005, 0624, 88840, 89206, 89867, 89830, 891873900
2005, 0627, 90421, 90421, 92065, 91604, 1654540200
2005, 0628, 90121, 91348, 91348, 90372, 1040221900
2005, 0629, 89808, 90675, 90757, 89890, 1080674600
2005, 0630, 87688, 89710, 89710, 87869, 1085547200
2005, 0701, 85837, 87594, 87594, 85949, 1009459690
2005, 0704, 84281, 85532, 85610, 85593, 884027650
2005, 0705, 84536, 85368, 85674, 84968, 799268830
2005, 0706, 83861, 85025, 85445, 84256, 689831390
2005, 0707, 83928, 84175, 84802, 84473, 596246490
2005, 0708, 82723, 84262, 84262, 82949, 722100040
2005, 0711, 82252, 83786, 85066, 82410, 843900550
2005, 0712, 81886, 82191, 85429, 85182, 1498987000
