2019-11-20_+9,323.21_+1,194.64_+4,586.97_+3,530.64_+10.96
2019-11-21_+9,211.94_+1,195.56_+4,593.63_+3,411.79_+10.96
2019-11-22_+8,/33.33_+1,196.41_+4,597.07_+2,928.89_+10.96
2019-11-23_+8,/35.63_+1,197.27_+4,598.51_+2,928.89_+10.96
2019-11-24_+8,/50.17_+1,198.13_+4,612.19_+2,928.89_+10.96
2019-11-25_+8,939.44_+1,198.99_+4,620.75_+3,108.74_+10.96
2019-11-26_+8,943.20_+1,199.86_+4,626.87_+3,105.51_+10.96
2019-11-27_+8,946.80_+1,200.71_+4,633.51_+3,101.62_+10.96
2019-11-28_+8,/94.55_+1,201.56_+4,640.14_+2,941.89_+10.96
2019-11-29_+8,598.57_+1,202.43_+4,642.58_+2,742.66_+10.96
2019-11-30_+8 600.94_+1,203.35_+4,644.03_+2,742.66_+10.96
2019-12-01_+8,615.69_+1,204.48_+4,657.65_+2,742.66_+10.96
2019-12-02_+8,/27.71_+1,205.61_+4,666.30_+2,844.84_+10.96
2019-12-03_+8,952.17_+1,206.77_+4,676.75_+3,057.69_+10.96
2019-12-04_+8,931.77_+1,211.23_+4,686.35_43,023.23_+10.96
2019-12-05_+9,415.71_+1,215.78_+4,695.95_+3,493.02_+10.96
2019-12-06_+9, 825.64_+1,220.27_+4,698.40_+3,896.02_+10.95
2019-12-07_+9,831.50_+1,224.68_+4,699.85_+3,896.02_+10.95
2019-12-08_+9, 858.08_+1,229.09_+4,722.02_+3,896.02_+10.95
2019-12-10_+10,110.59_+1,237.68_+4,742.57_+4,119.40_+10.94
2019-12-11_+10,025.04_+1,242.05_+4,752.25_+4,019.80_+10.94
2019-12-12_+9 886.69_+1,246.53_+4,761.91_+3,867.30_+10.95
2019-12-13_+10,768.96_+1,252.22_+4,764.36_+4,741.45_+10.93
2019-12-14_+10,775.14_+1,256.96_+4,765.80_+4,741.45_+10.93
2019-12-15_+10,800.80_+1,261.70_+4,786.72_+4,741.45_+10.93
2019-12-16_+11,467.65_+1,266.43_+4,798.24_+5,392.04_+10.94
2019-12-17_+12,296.18_+1,272.35_+4,811.08_+6,201.81_+10.94
2019-12-18_+12,223.70_+1,277.06_+4,820.77_+6,114.93_+10.94
2019-12-19_+12,233./2_+1,281.08_+4,830.46_+6,111.24_+10.94
2019-12-20_+11,873.39_+1,284.96_+4,832.89_+5,744.60_+10.94
2019-12-21_+11,878.98_+1,289.10_+4,834.34_+5,744.60_+10.94
2019-12-22_+11,907.47_+1,293.24_+4,858.69_+5,744.60_+10.94
2019-12-23_+10,958.68_+1,294.21_+4,871.00_+4,782.53_+10.94
2019-12-24_+11,605.43_+1,294.36_+4,882.66_+5,417.47_+10.94
2019-12-25_+11,/16.00_+1,294.49_+4,892.81_+5,517.76_+10.94
2019-12-26_+12,192.62_+1,294.62_+4,901.90_+5,985.16_+10.94
2019-12-27_+11,949.30_+1,295.54_+4,901.90_+5,740.92_+10.94
2019-12-28_+11,950.21_+1,296.45_+4,901.90_+5,740.92_+10.94
2019-12-29_+11,973.08_+1,297.35_+4,923.87_+5,740.92_+10.94
2019-12-30_+12,849.02_+1,298.25_+4,931.83_+6,608.00_+10.94
2019-12-31_+12,849.68_$1,299.15_+4,931.83_+6,607.76_+10.94
