date,total,yeb,lc,jj,hj
2018/11/22,2753.680 ,835.480 ,1891.130 ,16.980 ,10.090 
2018/11/23,2755.090 ,835.940 ,1891.130 ,17.940 ,10.080 
2018/11/24,2755.550 ,836.400 ,1891.130 ,17.940 ,10.080 
2018/11/25,2773.040 ,836.850 ,1908.170 ,17.940 ,10.080 
2018/11/26,2781.410 ,837.300 ,1914.090 ,19.900 ,10.120 
2018/11/27,2787.800 ,837.750 ,1920.100 ,19.910 ,10.040 
2018/11/28,2794.810 ,838.200 ,1925.870 ,20.820 ,9.920 
2018/11/29,2802.160 ,838.660 ,1931.640 ,21.780 ,10.080 
2018/11/30,2803.590 ,839.120 ,1931.640 ,22.750 ,10.080 
2018/12/1,2804.050 ,839.580 ,1931.640 ,22.750 ,10.080 
2018/12/2,2821.460 ,840.040 ,1948.590 ,22.750 ,10.080 
2018/12/3,2829.700 ,840.500 ,1954.460 ,24.690 ,10.050 
2018/12/4,2838.030 ,840.960 ,1960.430 ,26.610 ,10.030 
2018/12/5,2847.140 ,841.430 ,1966.180 ,29.480 ,10.050 
2018/12/6,2854.420 ,841.900 ,1971.920 ,30.460 ,10.140 
2018/12/7,2855.910 ,842.380 ,1971.920 ,31.420 ,10.190 
2018/12/8,2856.390 ,842.860 ,1971.920 ,31.420 ,10.190 
2018/12/9,2873.630 ,843.340 ,1988.680 ,31.420 ,10.190 
2018/12/10,2882.900 ,843.640 ,1994.470 ,34.320 ,10.470 
2018/12/11,2890.030 ,843.940 ,2000.410 ,35.280 ,10.400 
2018/12/12,2897.870 ,844.240 ,2006.100 ,37.190 ,10.340 
2018/12/13,2900.320 ,844.690 ,2011.820 ,33.400 ,10.410 
2018/12/14,2898.810 ,845.150 ,2011.820 ,31.500 ,10.340 
2018/12/15,2899.260 ,845.600 ,2011.820 ,31.500 ,10.340 
2018/12/16,2916.610 ,846.050 ,2028.720 ,31.500 ,10.340 
2018/12/17,2924.800 ,846.500 ,2034.580 ,33.450 ,10.270 
2018/12/18,2929.510 ,846.950 ,2040.570 ,31.550 ,10.440 
