date,total,ye,yeb,lc,jj,hj
2018/11/21,68242.89,15.65,6770.5,51253.61,10175.94,27.19
2018/11/22,68250.09,0,6786.61,51259.35,10176.91,27.22
2018/11/23,68267.53,13.32,6784.07,51265.06,10177.87,27.21
2018/11/24,68087.99,0,6617.85,51265.06,10177.87,27.21
2018/11/25,68085.63,0.19,6615.3,51265.06,10177.87,27.21
2018/11/26,68123.81,30.35,6604.28,51282.1,10179.83,27.25
2018/11/27,68130.11,0,6635.08,51288.02,10179.84,27.17
2018/11/28,68166.4,29.04,6645.49,51294.03,10170.79,27.05
2018/11/29,68178.14,4.39,6674.99,51299.8,10171.75,27.21
2018/11/30,68322.85,137.51,6679.84,51305.57,10172.72,27.21
2018/12/1,68323.73,0.42,6817.81,51305.57,10172.72,27.21
2018/12/2,68324.49,0.3,6818.69,51305.57,10172.72,27.21
2018/12/3,68333.58,19.53,6789.69,51322.52,10174.66,27.18
2018/12/4,68520.71,233.01,6755.57,51328.39,10176.58,27.16
2018/12/5,68589.56,119.42,6929.15,51334.36,10179.45,27.18
2018/12/6,68598.51,1.66,7049.04,51340.11,10180.43,27.27
2018/12/7,68688.85,121.11,7013.18,51345.85,10181.39,27.32
2018/12/8,68750.14,80.81,7114.77,51345.85,10181.39,27.32
2018/12/9,65884.17,12.1,4317.51,51345.85,10181.39,27.32
2018/12/10,65934.51,30.1,4329.91,51362.61,10184.29,27.6
2018/12/11,81933.05,0,10351.87,51368.4,20185.25,27.53
2018/12/12,78172.86,131.77,6452.12,51374.34,20187.16,27.47
2018/12/13,78175.41,0.13,6584.34,51380.03,20183.37,27.54
2018/12/14,78213.7,34.08,6584.93,51385.75,20181.47,27.47
2018/12/15,78262.22,48.07,6619.46,51385.75,20181.47,27.47
2018/12/16,78265.05,2.38,6667.98,51385.75,20181.47,27.47
2018/12/17,78302.58,28.1,6661.01,51402.65,20183.42,27.4
2018/12/18,78336.92,37.46,6681.86,51408.51,20181.52,27.57
2018/12/19,82828.51,3.29,11356.46,51414.5,20026.66,27.6
2018/12/20,79549.38,13.9,8026.43,61420.26,10061.18,27.61
2018/12/21,79692.91,143.92,8033.01,61426.04,10062.14,27.8
2018/12/22,79697.07,3.59,8177.5,61426.04,10062.14,27.8
2018/12/23,80700.93,1003.29,8181.66,61426.04,10062.14,27.8
2018/12/24,80741.17,22.59,9185.52,61443.05,10062.14,27.87
2018/12/25,81507.27,758.58,9208.67,61448.89,10063.1,28.03
2018/12/26,81915.76,402.71,9967.89,61454.92,10062.14,28.1
2018/12/27,81923,0,10369.24,61460.76,10065.02,27.98
2018/12/28,81972.97,36.63,10369.95,61466.52,10071.73,28.14
2018/12/29,81984.39,10.68,10407.32,61466.52,10071.73,28.14
2018/12/30,81987.68,2.55,10418.74,61466.52,10071.73,28.14
2018/12/31,81992.1,3.68,10422.03,61466.52,10071.73,28.14
2019/1/1,81993.42,0.58,10426.45,61466.52,10071.73,28.14
2019/1/2,82035.41,4.45,10127.77,61494.59,10380.35,28.25
2019/1/3,82064.81,18.6,9832.94,61500.73,10684.14,28.4
2019/1/4,82255.44,198,9522.24,61506.58,11000.2,28.42
2019/1/5,82256.11,0,9720.91,61506.58,11000.2,28.42
2019/1/6,82459.07,30,9893.87,61506.58,11000.2,28.42
2019/1/7,82169.11,0,9302.33,61523.29,11315.2,28.29
2019/1/8,82153.37,0,8980.18,61528.87,11616.16,28.16
2019/1/9,78144.53,9.28,4490.74,61688.04,11928.4,28.07
2019/1/10,95625.09,17326.11,4200.34,61843.73,12226.84,28.07
2019/1/11,95617.84,0,10197.77,72849.42,12542.63,28.02
2019/1/12,95005.76,207.63,9228.06,72999.42,12542.63,28.02
2019/1/13,95156.13,0.1,9435.96,73149.42,12542.63,28.02
2019/1/14,95307.38,22.78,9113.93,73316.14,12826.49,28.04
2019/1/15,95207.62,0,8537.4,73472.59,13169.7,27.93
2019/1/16,95210.25,20.41,8218.03,73476.61,13467.21,27.99
2019/1/17,95199.79,0.01,7939.27,73483.23,13749.28,28
2019/1/18,95356.79,0,7640.08,73589.78,14098.91,28.02
2019/1/19,95372.68,14.98,7640.99,73589.78,14098.91,28.02
2019/1/20,95373.25,0,7656.54,73589.78,14098.91,28.02
2019/1/21,95451.6,36.32,13360.94,67605,14421.42,27.92
2019/1/22,95804.3,403.73,13097.81,67610.82,14663.97,27.97
2019/1/23,95852.04,50.1,13190.22,67617.27,14966.52,27.93
2019/1/24,95935.01,50.1,12941.29,67623.34,15292.33,27.95
2019/1/25,95511.82,0.42,12503.49,67379.39,15600.59,27.93
2019/1/26,95522.8,20,12494.89,67379.39,15600.59,27.93
2019/1/27,95774.06,0.42,13065.73,67079.39,15600.59,27.93
2019/1/28,95764.6,42.05,12542.63,67047.53,16104.26,28.13
2019/1/29,95756.74,29.22,12275.69,66803.52,16620.04,28.27
2019/1/30,95758.05,0.1,11978.21,66660.2,17091.19,28.35
2019/1/31,92503.2,23.18,8143.77,66666.39,17641.52,28.34
2019/2/1,92714.1,73.03,7623.57,66672.47,18316.62,28.41
2019/2/2,92694.71,0,7677.21,66672.47,18316.62,28.41
2019/2/3,112697.53,2.29,27677.74,66672.47,18316.62,28.41
2019/2/4,123305.08,5.06,38282.52,66672.47,18316.62,28.41
2019/2/5,123325.9,8.79,38299.61,66672.47,18316.62,28.41
2019/2/6,123326.43,0,38308.93,66672.47,18316.62,28.41
2019/2/7,123326.97,0.01,38309.46,66672.47,18316.62,28.41
2019/2/8,123327.6,0.1,28310,76672.47,18316.62,28.41
2019/2/9,120643.42,39.09,25336.83,76922.47,18316.62,28.41
2019/2/10,120657.9,0.1,25390.3,76922.47,18316.62,28.41
2019/2/11,119690.29,0,13665.93,86981.27,19014.68,28.41
2019/2/12,119781.79,2.34,18219.7,82223,19306.63,30.12
